account_name,industry,arr,last_contact_date,account_tier,website,region,owner
Local Initiatives Support Corporation,Community Development,6250.00,2026-07-10,SMB,https://www.lisc.org/,North America,Rep C
Conservation International,Environment,9200.00,2025-06-03,SMB,https://www.conservation.org/,South America,Rep D
International Rescue Committee,Human Services,70450.00,2026-02-22,Strategic,https://www.rescue.org/,Asia Pacific,Rep D
Winrock International,International Aid,7450.00,2026-07-14,SMB,https://winrock.org/,North America,Rep A
Meals on Wheels America,Human Services,10200.00,2026-07-21,SMB,https://www.mealsonwheelsamerica.org/,North America,Rep D
Sundance Institute,Arts & Culture,,,Mid-Market,https://www.sundance.org/,North America,Rep C
Silicon Valley Community Foundation,Community Development,44200.00,2026-03-22,Mid-Market,https://www.siliconvalleycf.org/,Africa,Rep C
Catholic Charities USA,Human Services,0.00,2024-04-02,SMB,https://www.catholiccharitiesusa.org/,North America,Rep A
Lincoln Center for the Performing Arts,Arts & Culture,66150.00,2025-11-20,Strategic,https://www.lincolncenter.org/,South America,Rep D
Jumpstart,Education,19550.00,2024-04-22,SMB,https://www.jstart.org/,North America,Rep C
Dress for Success Worldwide,Human Services,50850.00,,Mid-Market,https://dressforsuccess.org/,North America,Rep C
Save the Children,Human Services,71100.00,2026-07-07,Enterprise,https://www.savethechildren.org/,North America,Rep A
AFSC,Religious,92450.00,2023-12-30,Strategic,https://www.afsc.org/,Africa,Rep A
People for the Ethical Treatment of Animals,Animal Welfare,10550.00,2026-06-02,SMB,https://www.peta.org/,North America,Rep B
One Warm Coat,Human Services,30750.00,2026-06-19,Mid-Market,https://www.onewarmcoat.org/,South America,Rep A
Pencils of Promise,Education,39950.00,2023-06-16,Mid-Market,https://pencilsofpromise.org/,Europe,Rep B
Coalition for the Homeless,Human Services,17350.00,2025-07-17,SMB,https://www.coalitionforthehomeless.org/,Asia Pacific,Rep B
Community Solutions,Community Development,24100.00,2026-04-20,SMB,https://community.solutions/,North America,Rep D
CARE,Human Services,0.00,2026-07-05,SMB,https://www.care.org/,Europe,Rep D
Education Development Center,Education,120000.00,2026-06-22,Enterprise,https://www.edc.org/,North America,Rep B
